story_id,release,priority,task_type,status,reason,next_action
STORY-0036,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create clarification-aware BL-002/stories/STORY-0036.md without inventing missing behavior
STORY-0037,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0037.md
STORY-0038,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0038.md
STORY-0039,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0039.md
STORY-0040,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0040.md
STORY-0041,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0041.md
STORY-0042,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0042.md
STORY-0043,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0043.md
STORY-0044,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0044.md
STORY-0045,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0045.md
STORY-0046,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0046.md
STORY-0047,R1,1,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create and validate BL-002/stories/STORY-0047.md
STORY-0035,R2,2,MATERIALIZE_STORY_FILE,PENDING,PHYSICAL_STORY_FILE_MISSING,Create clarification-aware BL-002/stories/STORY-0035.md without inventing missing behavior
