story_id,rework_state,approval_gate,reason,next_action
STORY-0001,BUSINESS_BEHAVIOR_COMPLETE_AWAITING_USER_REAPPROVAL,EXPLICIT_USER_REAPPROVAL_REQUIRED,MATERIALLY_REWORKED_CURRENT_CONTRACT,USER_REVIEW_AND_EXPLICIT_REAPPROVAL
STORY-0002,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0003,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0004,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0005,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0006,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0007,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0008,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0009,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0010,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0011,BUSINESS_BEHAVIOR_COMPLETE_AWAITING_USER_REVIEW,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_COMPLETE_SELECTOR_REVIEW_COMPLETE,USER_REVIEW_REWORKED_STORY
STORY-0012,BUSINESS_BEHAVIOR_COMPLETE_AWAITING_USER_REVIEW,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_COMPLETE_SUMMARY_METRIC_DATABASE_READ_BOUND,USER_REVIEW_REWORKED_STORY
STORY-0013,BUSINESS_BEHAVIOR_COMPLETE_AWAITING_USER_REVIEW,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_COMPLETE_SERVICE_DAO_DATABASE_BOUND_CURRENT_GAPS_RECORDED,USER_REVIEW_REWORKED_STORY
STORY-0014,BUSINESS_BEHAVIOR_COMPLETE_AWAITING_USER_REVIEW,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_COMPLETE_AGING_DASHBOARD_SOURCE_BOUND,USER_REVIEW_REWORKED_STORY
STORY-0015,BUSINESS_BEHAVIOR_COMPLETE_AWAITING_USER_REVIEW,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_COMPLETE_CHALLAN_HEATMAP_SOURCE_BOUND,USER_REVIEW_REWORKED_STORY
STORY-0016,BUSINESS_BEHAVIOR_COMPLETE_AWAITING_USER_REVIEW,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_COMPLETE_CHALLAN_PAGE_PHOTO_SOURCE_BOUND,USER_REVIEW_REWORKED_STORY
STORY-0017,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0018,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0019,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0020,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0021,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0022,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
STORY-0023,REWORK_REQUIRED,EXPLICIT_USER_APPROVAL_REQUIRED_AFTER_REWORK,BUSINESS_BEHAVIOR_AND_USER_SYSTEM_IMPACT_REWORK,REWORK_FROM_FROZEN_SOURCE_TO_BUSINESS_BEHAVIOR_STANDARD
