story_id,source_no,http_method,path,functional_area,release,review_priority,review_state,approval_status,traceability_state
STORY-0001,1,GET,/login,Authentication / Login,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0002,2,GET,/offline-map/status,Offline Map,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0003,3,GET,/offline-map/status-json,Offline Map,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0004,4,GET,/offline-map/style.json,Offline Map,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0005,5,GET,/offline-map/vector-tiles/{z}/{x}/{y}.pbf,Offline Map,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0006,6,GET,/delivery-planning/predefined-trips,Predefined Delivery Trips,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0007,7,POST,/delivery-planning/predefined-trips/create,Predefined Delivery Trips,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0008,8,POST,/delivery-planning/predefined-trips/add-stop,Predefined Delivery Trips,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0009,9,POST,/delivery-planning/predefined-trips/remove-stop,Predefined Delivery Trips,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0010,10,POST,/delivery-planning/predefined-trips/remove,Predefined Delivery Trips,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0011,11,POST,/complete-trip,Trip Completion,R1,1,NEEDS_CLARIFICATION,PENDING_USER_APPROVAL,PARTIAL_INTERMEDIATE_HOPS
STORY-0012,12,GET,/logistics/challan-books/add-form,Challan Management,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0013,13,POST,/logistics/challan-books/save,Challan Management,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0014,14,GET,/challan-entry-aging-dashboard,Challan Monitoring,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0015,15,GET,/challan-heatmap,Challan Monitoring,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0016,16,GET,/challan-page-photo/{challanPagePhotoId},Challan Monitoring,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0017,17,GET,/customer-address-location/planning-map,Customer Address / Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0018,18,GET,/customer-address-location/missing,Customer Address / Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0019,19,GET,/customer-address-location/points.geojson,Customer Address / Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0020,20,GET,/yard-location/upload,Yard Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0021,21,POST,/yard-location/upload,Yard Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0022,22,GET,/yard-location/points.geojson,Yard Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0023,23,GET,/customer-address-location/upload,Customer Address / Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0024,24,POST,/customer-address-location/upload,Customer Address / Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0025,25,GET,/customer-address-location/import-whatsapp-export,Customer Address / Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0026,26,POST,/customer-address-location/import-whatsapp-export,Customer Address / Location,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0027,27,GET,/customer-consumption,Customer Consumption,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0028,28,GET,/customer-consumption/,Customer Consumption,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0029,29,GET,/customer-consumption/dashboard,Customer Consumption,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0030,30,GET,/customer-consumption/api/dashboard,Customer Consumption,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0031,31,GET,/ownership-obligation-dashboard,Ownership Obligation,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0032,32,GET,/walkin-sale,Walk-in Sale,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0033,33,POST,/walkin-sale,Walk-in Sale,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0034,34,POST,/customer-spot-cylinder-check/submit,Customer Spot Cylinder Check,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0035,35,GET,/customer-spot-cylinder-check/fetch,Customer Spot Cylinder Check,R2,2,NEEDS_CLARIFICATION,PENDING_USER_APPROVAL,PARTIAL_INTERMEDIATE_HOPS
STORY-0036,36,GET,/yard-audit-dashboard,Yard Audit,R1,1,NEEDS_CLARIFICATION,PENDING_USER_APPROVAL,PARTIAL_INTERMEDIATE_HOPS
STORY-0037,37,GET,/cylinderDelivery,Cylinder Delivery,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0038,38,POST,/cylinderDelivery,Cylinder Delivery,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0039,39,GET,/vehicleLoad,Vehicle Load,R1,1,SUPERSEDED_NOT_NEEDED,NOT_NEEDED_SUPERSEDED,COMPLETE
STORY-0040,40,POST,/vehicleLoad,Vehicle Load,R1,1,SUPERSEDED_NOT_NEEDED,NOT_NEEDED_SUPERSEDED,COMPLETE
STORY-0041,41,GET,/registerCustomer,Customer Registration,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0042,42,POST,/registerCustomer,Customer Registration,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0043,43,GET,/wizard/vehicle-trip-load,Vehicle Trip Load Wizard,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0044,44,POST,/wizard/vehicle-trip-load/save,Vehicle Trip Load Wizard,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0045,45,GET,/displayCustomer,Customer Display,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0046,46,GET,/fetchCustomerByPage,Customer Display,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0047,47,POST,/updateCustomer,Customer Maintenance,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0048,48,POST,/add-stop/challan-page-photo/delete-ajax,Delivery Stop / Challan,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0049,49,POST,/add-stop/challan-page-photo/upload,Delivery Stop / Challan,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0050,50,POST,/add-stop/challan-page-photo/upload-ajax,Delivery Stop / Challan,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0051,51,GET,/add-stop,Delivery Stop / Challan,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0052,52,GET,/trip-return,Trip Return,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0053,53,POST,/trip-return,Trip Return,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0054,54,GET,/customer-demands,Customer Demands,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0055,55,POST,/customer-demands,Customer Demands,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0056,56,POST,/customer-demands/{requestId}/mark-delivered,Customer Demands,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0057,57,GET,/trip-review,Trip Review,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0058,58,GET,/trip-review/{vehicleTripId},Trip Review,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0059,59,GET,/fetchSupplierByPage,Supplier Lookup,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0060,60,GET,/vehicle-loads/list,Vehicle Loads,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0061,61,GET,/vehicle-loads/all-list,Vehicle Loads,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0062,62,GET,/vehicle-trips/list,Vehicle Trips,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0063,63,GET,/party-custody-traceability,Party Custody Traceability,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0064,64,GET,/reconciliation-command-center,Reconciliation Command Center,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0065,65,GET,/reconciliation-command-center/details,Reconciliation Command Center,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0066,66,GET,/ownership-dashboard,Ownership Dashboard,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0067,67,GET,/ownership-dashboard/yard,Ownership Dashboard,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0068,68,GET,/ownership-dashboard/customer,Ownership Dashboard,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0069,69,GET,/ownership-dashboard/supplier,Ownership Dashboard,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0070,70,GET,/ownership-dashboard/logistics,Ownership Dashboard,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0071,71,GET,/delivery-planning/demand-points.geojson,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0072,72,GET,/delivery-planning/demand-bubbles.geojson,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0073,73,GET,/delivery-planning/customer-density-bubbles.geojson,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0074,74,GET,/delivery-planning/stops,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0075,75,GET,/delivery-planning/stops/{stopId}/nearby-customers,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0076,76,GET,/delivery-planning/customer-coverage.geojson,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0077,77,GET,/delivery-planning/stops.geojson,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0078,78,POST,/setCustomerInactive,Customer Status,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0079,79,POST,/setCustomerActive,Customer Status,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0080,80,GET,/ingestSupplier,Supplier Ingestion,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0081,81,POST,/ingestSupplier,Supplier Ingestion,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0082,82,GET,/ingestYardStockCheck,Yard Stock Check,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0083,83,POST,/ingestYardStockCheck,Yard Stock Check,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0084,84,POST,/trip-review/{vehicleTripId}/close-review,Trip Review,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0085,85,POST,/stop,Delivery Stop,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0086,86,GET,/search/address/customer-address/{customerId},Search,R1,1,APPROVED_FANOUT_REQUESTED,APPROVED_AFTER_REWORK,COMPLETE
STORY-0087,87,GET,/search/addresstype/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0088,88,GET,/search/challantype/{searchText},Search,R1,1,APPROVED_FANOUT_REQUESTED,APPROVED_AFTER_REWORK,COMPLETE
STORY-0089,89,GET,/search/city/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0090,90,GET,/search/country/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0091,91,GET,/search/customer/{searchText},Search,R1,1,APPROVED_FANOUT_REQUESTED,APPROVED_AFTER_REWORK,COMPLETE
STORY-0092,92,GET,/search/driver/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0093,93,GET,/find/Driver-by-Id/{driverId},Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0094,94,GET,/search/cylinder/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0095,95,POST,/search/cylinder/by-serial-and-state,Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0096,96,POST,/search/cylinder/by-customer,Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0097,97,POST,/search/cylinder/by-supplier,Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0098,98,GET,/search/product-category/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0099,99,GET,/search/product/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0100,100,GET,/search/product-uom/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0101,101,GET,/search/state/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0102,102,GET,/search/supplier/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
