No,HTTP Method,Path,Functional Area,Release (R1/R2),Your Notes
1,GET,/login,Authentication / Login,R1,
2,GET,/offline-map/status,Offline Map,R2,
3,GET,/offline-map/status-json,Offline Map,R2,
4,GET,/offline-map/style.json,Offline Map,R2,
5,GET,/offline-map/vector-tiles/{z}/{x}/{y}.pbf,Offline Map,R2,
6,GET,/delivery-planning/predefined-trips,Predefined Delivery Trips,R2,
7,POST,/delivery-planning/predefined-trips/create,Predefined Delivery Trips,R2,
8,POST,/delivery-planning/predefined-trips/add-stop,Predefined Delivery Trips,R2,
9,POST,/delivery-planning/predefined-trips/remove-stop,Predefined Delivery Trips,R2,
10,POST,/delivery-planning/predefined-trips/remove,Predefined Delivery Trips,R2,
11,POST,/complete-trip,Trip Completion,R1,
12,GET,/logistics/challan-books/add-form,Challan Book Management,R1,
13,POST,/logistics/challan-books/save,Challan Book Management,R1,
14,GET,/challan-entry-aging-dashboard,Challan Monitoring,R1,
15,GET,/challan-heatmap,Challan Monitoring,R1,
16,GET,/challan-page-photo/{challanPagePhotoId},Challan Monitoring,R1,
17,GET,/customer-address-location/planning-map,Customer / Yard Location,R2,
18,GET,/customer-address-location/missing,Customer / Yard Location,R2,
19,GET,/customer-address-location/points.geojson,Customer / Yard Location,R2,
20,GET,/yard-location/upload,Customer / Yard Location,R2,
21,POST,/yard-location/upload,Customer / Yard Location,R2,
22,GET,/yard-location/points.geojson,Customer / Yard Location,R2,
23,GET,/customer-address-location/upload,Customer / Yard Location,R2,
24,POST,/customer-address-location/upload,Customer / Yard Location,R2,
25,GET,/customer-address-location/import-whatsapp-export,Customer / Yard Location,R2,
26,POST,/customer-address-location/import-whatsapp-export,Customer / Yard Location,R2,
27,GET,/customer-consumption,Customer Consumption,R2,
28,GET,/customer-consumption/,Customer Consumption,R2,
29,GET,/customer-consumption/dashboard,Customer Consumption,R2,
30,GET,/customer-consumption/api/dashboard,Customer Consumption,R2,
31,GET,/ownership-obligation-dashboard,Ownership Obligation,R1,
32,GET,/walkin-sale,Walk-In Sale,R1,
33,POST,/walkin-sale,Walk-In Sale,R1,
34,POST,/customer-spot-cylinder-check/submit,Customer Spot Cylinder Check,R2,
35,GET,/customer-spot-cylinder-check/fetch,Customer Spot Cylinder Check,R2,
36,GET,/yard-audit-dashboard,Yard Audit,R1,
37,GET,/cylinderDelivery,Cylinder Delivery,R1,
